surah,ayah,char_diff_count,diff_summary,thai_230_raw,thai_v3_master,len_chars_thai2,len_chars_thai3
1,1,0,IDENTICAL,ด้วยพระนามของอัลลอฮฺ ผู้ทรงกรุณาปรานี ผู้ทรงเมตตาเสมอ,ด้วยพระนามของอัลลอฮฺ ผู้ทรงกรุณาปรานี ผู้ทรงเมตตาเสมอ,51,51
1,2,0,IDENTICAL,การสรรเสริญทั้งหลายนั้นเป็นสิทธิของอัลลอฮฺ ผู้เป็นพระเจ้าแห่งสากลโลก,การสรรเสริญทั้งหลายนั้นเป็นสิทธิของอัลลอฮฺ ผู้เป็นพระเจ้าแห่งสากลโลก,67,67
1,3,0,IDENTICAL,ผู้ทรงกรุณาปรานี ผู้ทรงเมตตาเสมอ,ผู้ทรงกรุณาปรานี ผู้ทรงเมตตาเสมอ,31,31
1,4,0,IDENTICAL,ผู้ทรงอภิสิทธิ์แห่งวันตอบแทน,ผู้ทรงอภิสิทธิ์แห่งวันตอบแทน,28,28
1,5,0,IDENTICAL,เฉพาะพระองค์เท่านั้น ที่พวกข้าพระองค์เคารพอิบาดะฮฺ และเฉพาะพระองค์เท่านั้นที่พวกข้าพระองค์ขอความช่วยเหลือ,เฉพาะพระองค์เท่านั้นที่พวกข้าพระองค์เคารพอิบาดะฮฺ และเฉพาะพระองค์เท่านั้นที่พวกข้าพระองค์ขอความช่วยเหลือ,103,103
1,6,0,IDENTICAL,ขอพระองค์ทรงแนะนำพวกข้าพระองค์ ซึ่งทางอันเที่ยงตรง,ขอพระองค์ทรงแนะนำพวกข้าพระองค์ ซึ่งทางอันเที่ยงตรง,49,49
1,7,0,IDENTICAL,(คือ) ทางของบรรดาผู้ที่พระองค์ได้ทรงโปรดปรานแก่พวกเขา มิใช่ทางของพวกที่ถูกกริ้ว และมิใช่ทางของพวกที่หลงผิด,(คือ) ทางของบรรดาผู้ที่พระองค์ได้ทรงโปรดปรานแก่พวกเขา มิใช่ทางของพวกที่ถูกกริ้ว และมิใช่ทางของพวกที่หลงผิด,103,103
2,1,0,IDENTICAL,อะลิฟ ลาม มีม,อะลิฟ ลาม มีม,11,11
2,2,0,IDENTICAL,คัมภีร์นี้ ไม่มีความสงสัยใด ๆ ในนั้น เป็นคำแนะนำสำหรับบรรดาผู้ยำเกรงเท่านั้น,คัมภีร์นี้ไม่มีความสงสัยใด ๆ ในนั้น เป็นคำแนะนำสำหรับบรรดาผู้ยำเกรงเท่านั้น,72,72
2,3,0,IDENTICAL,คือบรรดาผู้ศรัทธาต่อสิ่งเร้นลับ และดำรงไว้ซึ่งการละหมาด และส่วนหนึ่งจากสิ่งที่เราได้ให้เป็นปัจจัยยังชีพแก่พวกเขานั้น พวกเขาก็บริจาค,คือบรรดาผู้ศรัทธาต่อสิ่งเร้นลับ และดำรงไว้ซึ่งการละหมาด และส่วนหนึ่งจากสิ่งที่เราได้ให้เป็นปัจจัยยังชีพแก่พวกเขานั้น พวกเขาก็บริจาค,128,128
2,4,0,IDENTICAL,และบรรดาผู้ที่ศรัทธาต่อสิ่งที่ถูกประทานลงมาแก่เจ้า และสิ่งที่ถูกประทานลงมาก่อนเจ้าและต่อวันปรโลกนั้นพวกเขาเชื่อมั่น,และบรรดาผู้ที่ศรัทธาต่อสิ่งที่ถูกประทานลงมาแก่เจ้า และสิ่งที่ถูกประทานลงมาก่อนเจ้า และต่อวันปรโลกนั้น พวกเขาเชื่อมั่น,114,114
2,5,0,IDENTICAL,ชนเหล่านี้ คือ ผู้ที่ (ตั้ง) อยู่บนคำแนะนำที่มาจากพระผู้เป็นเจ้าของพวกเขา และชนเหล่านี้คือผู้ที่บรรลุผล,ชนเหล่านี้คือผู้ที่ (ตั้ง) อยู่บนคำแนะนำที่มาจากพระผู้เป็นเจ้าของพวกเขา และชนเหล่านี้คือผู้ที่บรรลุผล,98,98
2,6,0,IDENTICAL,แท้จริงบรรดาผู้ที่ปฏิเสธการศรัทธานั้นย่อมมีผลเท่ากันแก่พวกเขา เจ้าจะตักเตือนพวกเขาแล้วหรือยังมิได้ตักเตือน พวกเขาก็หาได้ศรัทธาไม่,แท้จริงบรรดาผู้ที่ปฏิเสธการศรัทธานั้น ย่อมมีผลเท่ากันแก่พวกเขา เจ้าจะตักเตือนพวกเขาแล้วหรือยังมิได้ตักเตือน พวกเขาก็หาได้ศรัทธาไม่,127,127
2,7,0,IDENTICAL,อัลลอฮฺได้ทรงประทับตราบนหัวใจของพวกเขา และบนหูของพวกเขาแล้ว และบนตาของพวกเขาก็มีสิ่งบดบังอยู่ และเขาเหล่านั้น จะได้รับการลงโทษอันมหันต์,อัลลอฮฺได้ทรงประทับตราบนหัวใจของพวกเขา และบนหูของพวกเขาแล้ว และบนตาของพวกเขาก็มีสิ่งบดบังอยู่ และเขาเหล่านั้นจะได้รับการลงโทษอันมหันต์,131,131
2,8,0,IDENTICAL,และจากหมู่ชนนั้น มีผู้กล่าวว่า เราได้ศรัทธาต่ออัลลอฮฺ และวันปรโลกแล้ว ทั้ง ๆ ที่พวกเขาหาใช่เป็นผู้ศรัทธาไม่,และจากหมู่ชนนั้นมีผู้กล่าวว่า เราได้ศรัทธาต่ออัลลอฮฺและวันปรโลกแล้ว ทั้ง ๆ ที่พวกเขาหาใช่เป็นผู้ศรัทธาไม่,101,101
2,9,0,IDENTICAL,เขาเหล่านั้นต่างหลอกลวงอัลลอฮฺ และบรรดาผู้ที่ศรัทธา และพวกเขาหาได้หลอกลวงใครไม่ นอกจากตัวของพวกเขาเองเท่านั้น แต่พวกเขาไม่รู้สึก,เขาเหล่านั้นต่างหลอกลวงอัลลอฮฺ และบรรดาผู้ที่ศรัทธา และพวกเขาหาได้หลอกลวงใครไม่ นอกจากตัวของพวกเขาเองเท่านั้น แต่พวกเขาไม่รู้สึก,124,124
2,10,0,IDENTICAL,ในหัวใจของพวกเขามีโรคอย่างหนึ่ง แล้วอัลลอฮฺได้ทรงเพิ่มโรคอีกอย่างหนึ่ง ให้แก่พวกเขา และพวกเขาจะได้รับการลงโทษอันเจ็บแสบเนื่องจากการที่พวกเขากล่าวเท็จ,ในหัวใจของพวกเขามีโรคอย่างหนึ่ง แล้วอัลลอฮฺได้ทรงเพิ่มโรคอีกอย่างหนึ่งให้แก่พวกเขา และพวกเขาจะได้รับการลงโทษอันเจ็บแสบ เนื่องจากการที่พวกเขากล่าวเท็จ,146,146
2,11,1,['' -> 'ย'],และเมื่อได้ถูกกล่าวแก่พวกเขาว่า พวกท่านจงอย่าก่อความเสียหาแก่แผ่นดินซิ พวกเขาก็กล่าวว่า ที่จริงนั้น เราเป็นผู้ปรับปรุงให้ดีต่างหาก,และเมื่อได้ถูกกล่าวแก่พวกเขาว่า พวกท่านจงอย่าก่อความเสียหายแก่แผ่นดินซิ พวกเขาก็กล่าวว่า ที่จริงนั้นเราเป็นผู้ปรับปรุงให้ดีต่างหาก,126,127
2,12,0,IDENTICAL,พึงรู้เถิดว่า แท้จริงพวกเขานั่นแหละ เป็นผู้ที่ก่อความเสียหาย แต่ทว่าพวกเขาไม่รู้สึก,พึงรู้เถิดว่า แท้จริงพวกเขานั่นแหละ เป็นผู้ที่ก่อความเสียหาย แต่ทว่าพวกเขาไม่รู้สึก,80,80
2,13,1,['?' -> ''],และเมื่อได้ถูกกล่าวแก่พวกเขาว่า พวกท่านจงศรัทธาเยี่ยงที่ประชาชน เขาศรัทธากันซิ พวกเขาก็กล่าวว่า จะให้เราศรัทธาเยี่ยงผู้โฉดเขลาเหล่านั้นศรัทธากัน กระนั่นหรือ? พึงรู้เถิดว่า พวกเขาเองนั่นแหละเป็นผู้ที่โฉดเขลาแต่พวกเขาหารู้ไม่,และเมื่อได้ถูกกล่าวแก่พวกเขาว่า พวกท่านจงศรัทธาเยี่ยงที่ประชาชนเขาศรัทธากันซิ พวกเขาก็กล่าวว่า จะให้เราศรัทธาเยี่ยงผู้โฉดเขลาเหล่านั้นศรัทธากันกระนั่นหรือ พึงรู้เถิดว่าพวกเขาเองนั่นแหละเป็นผู้ที่โฉดเขลา แต่พวกเขาหารู้ไม่,216,215
2,14,0,IDENTICAL,และเมื่อพวกเขาพบบรรดาผู้ศรัทธาพวกเขาก็กล่าวว่า เราศรัทธาแล้ว และเมื่อพวกเขาได้ร่วมอยู่กับบรรดาหัวโจกของพวกเขาแต่ลำพัง พวกเขาก็กล่าวว่า แท้จริงเรายังอยู่กับพวกท่าน ที่จริงเราเป็นแต่เพียงผู้เย้ยหยันเท่านั้น,และเมื่อพวกเขาพบบรรดาผู้ศรัทธา พวกเขาก็กล่าวว่า เราศรัทธาแล้ว และเมื่อพวกเขาได้ร่วมอยู่กับบรรดาหัวโจกของพวกเขาแต่ลำพัง พวกเขาก็กล่าวว่า แท้จริงเรายังอยู่กับพวกท่าน ที่จริงเราเป็นแต่เพียงผู้เย้ยหยันเท่านั้น,199,199
2,15,0,IDENTICAL,อัลลอฮฺจะทรงเย้ยหยันพวกเขา และจะทรงยืดเวลาให้พวกเขาระเหเร่ร่อนอยู่ในการละเมิดของพวกเขาต่อไป,อัลลอฮฺจะทรงเย้ยหยันพวกเขา และจะทรงยืดเวลาให้พวกเขาระเหเร่ร่อนอยู่ในการละเมิดของพวกเขาต่อไป,90,90
2,16,0,IDENTICAL,ชนเหล่านี้คือผู้ที่ซื้อทางหลงผิด ด้วยทางที่ถูก ดังนั้น การค้าของพวกเขาจึงไม่ได้กำไรและทั้งพวกเขาก็ไม่เคยเป็นผู้รับเอาทางที่ถูกต้อง,ชนเหล่านี้คือผู้ที่ซื้อทางหลงผิดด้วยทางที่ถูก ดังนั้นการค้าของพวกเขาจึงไม่ได้กำไร และทั้งพวกเขาก็ไม่เคยเป็นผู้รับเอาทางที่ถูกต้อง,127,127
2,17,0,IDENTICAL,อุปมาพวกเขานั้น ดังผู้ที่จุดไฟขึ้นครั้งเมื่อไฟได้ให้แสงสว่างแก่สิ่งที่อยู่รอบ ๆ ตัวเขา อัลลอฮฺก็ทรงนำเอาแสงสว่างของพวกเขาไปและปล่อยพวกเขาไว้ในบรรดาความมืด ซึ่งพวกเขาไม่สามารถจะมองเห็นได้,อุปมาพวกเขานั้น ดังผู้ที่จุดไฟขึ้นครั้งเมื่อไฟได้ให้แสงสว่างแก่สิ่งที่อยู่รอบ ๆ ตัวเขา อัลลอฮฺก็ทรงนำเอาแสงสว่างของพวกเขาไป และปล่อยพวกเขาไว้ในบรรดาความมืด ซึ่งพวกเขาไม่สามารถจะมองเห็นได้,181,181
2,18,0,IDENTICAL,เขาเหล่านั้นเป็นคนหูหนวก เป็นใบ้ และตาบอด ดังนั้นพวกเขาจึงไม่สามารถจะกลับมาได้,เขาเหล่านั้นเป็นคนหูหนวก เป็นใบ้ และตาบอด ดังนั้นพวกเขาจึงไม่สามารถจะกลับมาได้,75,75
2,19,0,IDENTICAL,หรือดังฝนที่หลั่งลงมาจากฟากฟ้า โดยที่ในฝนนั้นมีทั้งบรรดาความมืด ฟ้าคำรณ และฟ้าแลบ พวกเขาจึงเอานิ้วมือของพวกเขาอุดหูไว้เนื่องจากฟ้าผ่า ทั้งนี้เพราะกลัวความตาย และอัลลอฮฺนั้นทรงล้อม พวกปฏิเสธการศรัทธาเหล่านั้นไว้แล้ว,หรือดังฝนที่หลั่งลงมาจากฟากฟ้า โดยที่ในฝนนั้นมีทั้งบรรดาความมืด ฟ้าคำรณ และฟ้าแลบ พวกเขาจึงเอานิ้วมือของพวกเขาอุดหูไว้เนื่องจากฟ้าผ่า ทั้งนี้เพราะกลัวความตาย และอัลลอฮฺนั้นทรงล้อมพวกปฏิเสธการศรัทธาเหล่านั้นไว้แล้ว,207,207
