surah,ayah,surah_name_arabic,surah_name_translit,category,raw_thai2_source,final_cleaned_thai,fix_explanation_th,fix_explanation_en
1,5,الفاتحة,Al-Fatihah,SPACING_CADENCE_OPTIMIZATION,เฉพาะพระองค์เท่านั้น ที่พวกข้าพระองค์เคารพอิบาดะฮฺ และเฉพาะพระองค์เท่านั้นที่พวกข้าพระองค์ขอความช่วยเหลือ,เฉพาะพระองค์เท่านั้นที่พวกข้าพระองค์เคารพอิบาดะฮฺ และเฉพาะพระองค์เท่านั้นที่พวกข้าพระองค์ขอความช่วยเหลือ,ปรับปรุงจังหวะวรรคตอนภาษาไทยให้อ่านง่าย ถูกต้องตามความหมายของประโยค,Optimized Thai clause spacing and breath cadence for natural readability
2,2,البقرة,Al-Baqarah,SPACING_CADENCE_OPTIMIZATION,คัมภีร์นี้ ไม่มีความสงสัยใด ๆ ในนั้น เป็นคำแนะนำสำหรับบรรดาผู้ยำเกรงเท่านั้น,คัมภีร์นี้ไม่มีความสงสัยใด ๆ ในนั้น เป็นคำแนะนำสำหรับบรรดาผู้ยำเกรงเท่านั้น,ปรับปรุงจังหวะวรรคตอนภาษาไทยให้อ่านง่าย ถูกต้องตามความหมายของประโยค,Optimized Thai clause spacing and breath cadence for natural readability
2,4,البقرة,Al-Baqarah,SPACING_CADENCE_OPTIMIZATION,และบรรดาผู้ที่ศรัทธาต่อสิ่งที่ถูกประทานลงมาแก่เจ้า และสิ่งที่ถูกประทานลงมาก่อนเจ้าและต่อวันปรโลกนั้นพวกเขาเชื่อมั่น,และบรรดาผู้ที่ศรัทธาต่อสิ่งที่ถูกประทานลงมาแก่เจ้า และสิ่งที่ถูกประทานลงมาก่อนเจ้า และต่อวันปรโลกนั้น พวกเขาเชื่อมั่น,ปรับปรุงจังหวะวรรคตอนภาษาไทยให้อ่านง่าย ถูกต้องตามความหมายของประโยค,Optimized Thai clause spacing and breath cadence for natural readability
2,5,البقرة,Al-Baqarah,SPACING_CADENCE_OPTIMIZATION,ชนเหล่านี้ คือ ผู้ที่ (ตั้ง) อยู่บนคำแนะนำที่มาจากพระผู้เป็นเจ้าของพวกเขา และชนเหล่านี้คือผู้ที่บรรลุผล,ชนเหล่านี้คือผู้ที่ (ตั้ง) อยู่บนคำแนะนำที่มาจากพระผู้เป็นเจ้าของพวกเขา และชนเหล่านี้คือผู้ที่บรรลุผล,ปรับปรุงจังหวะวรรคตอนภาษาไทยให้อ่านง่าย ถูกต้องตามความหมายของประโยค,Optimized Thai clause spacing and breath cadence for natural readability
2,6,البقرة,Al-Baqarah,SPACING_CADENCE_OPTIMIZATION,แท้จริงบรรดาผู้ที่ปฏิเสธการศรัทธานั้นย่อมมีผลเท่ากันแก่พวกเขา เจ้าจะตักเตือนพวกเขาแล้วหรือยังมิได้ตักเตือน พวกเขาก็หาได้ศรัทธาไม่,แท้จริงบรรดาผู้ที่ปฏิเสธการศรัทธานั้น ย่อมมีผลเท่ากันแก่พวกเขา เจ้าจะตักเตือนพวกเขาแล้วหรือยังมิได้ตักเตือน พวกเขาก็หาได้ศรัทธาไม่,ปรับปรุงจังหวะวรรคตอนภาษาไทยให้อ่านง่าย ถูกต้องตามความหมายของประโยค,Optimized Thai clause spacing and breath cadence for natural readability
2,7,البقرة,Al-Baqarah,SPACING_CADENCE_OPTIMIZATION,อัลลอฮฺได้ทรงประทับตราบนหัวใจของพวกเขา และบนหูของพวกเขาแล้ว และบนตาของพวกเขาก็มีสิ่งบดบังอยู่ และเขาเหล่านั้น จะได้รับการลงโทษอันมหันต์,อัลลอฮฺได้ทรงประทับตราบนหัวใจของพวกเขา และบนหูของพวกเขาแล้ว และบนตาของพวกเขาก็มีสิ่งบดบังอยู่ และเขาเหล่านั้นจะได้รับการลงโทษอันมหันต์,ปรับปรุงจังหวะวรรคตอนภาษาไทยให้อ่านง่าย ถูกต้องตามความหมายของประโยค,Optimized Thai clause spacing and breath cadence for natural readability
2,8,البقرة,Al-Baqarah,SPACING_CADENCE_OPTIMIZATION,และจากหมู่ชนนั้น มีผู้กล่าวว่า เราได้ศรัทธาต่ออัลลอฮฺ และวันปรโลกแล้ว ทั้ง ๆ ที่พวกเขาหาใช่เป็นผู้ศรัทธาไม่,และจากหมู่ชนนั้นมีผู้กล่าวว่า เราได้ศรัทธาต่ออัลลอฮฺและวันปรโลกแล้ว ทั้ง ๆ ที่พวกเขาหาใช่เป็นผู้ศรัทธาไม่,ปรับปรุงจังหวะวรรคตอนภาษาไทยให้อ่านง่าย ถูกต้องตามความหมายของประโยค,Optimized Thai clause spacing and breath cadence for natural readability
2,10,البقرة,Al-Baqarah,SPACING_CADENCE_OPTIMIZATION,ในหัวใจของพวกเขามีโรคอย่างหนึ่ง แล้วอัลลอฮฺได้ทรงเพิ่มโรคอีกอย่างหนึ่ง ให้แก่พวกเขา และพวกเขาจะได้รับการลงโทษอันเจ็บแสบเนื่องจากการที่พวกเขากล่าวเท็จ,ในหัวใจของพวกเขามีโรคอย่างหนึ่ง แล้วอัลลอฮฺได้ทรงเพิ่มโรคอีกอย่างหนึ่งให้แก่พวกเขา และพวกเขาจะได้รับการลงโทษอันเจ็บแสบ เนื่องจากการที่พวกเขากล่าวเท็จ,ปรับปรุงจังหวะวรรคตอนภาษาไทยให้อ่านง่าย ถูกต้องตามความหมายของประโยค,Optimized Thai clause spacing and breath cadence for natural readability
2,11,البقرة,Al-Baqarah,TYPO_CORRECTION,และเมื่อได้ถูกกล่าวแก่พวกเขาว่า พวกท่านจงอย่าก่อความเสียหาแก่แผ่นดินซิ พวกเขาก็กล่าวว่า ที่จริงนั้น เราเป็นผู้ปรับปรุงให้ดีต่างหาก,และเมื่อได้ถูกกล่าวแก่พวกเขาว่า พวกท่านจงอย่าก่อความเสียหายแก่แผ่นดินซิ พวกเขาก็กล่าวว่า ที่จริงนั้นเราเป็นผู้ปรับปรุงให้ดีต่างหาก,"แก้ไขคำผิด/สระตกหล่นจากต้นฉบับเดิม (เช่น แก้คำสะกดผิด, สระจม, อักษรเกิน)",Corrected source spelling typos and missing Thai vowels/consonants
2,13,البقرة,Al-Baqarah,PUNCTUATION_REMOVED,และเมื่อได้ถูกกล่าวแก่พวกเขาว่า พวกท่านจงศรัทธาเยี่ยงที่ประชาชน เขาศรัทธากันซิ พวกเขาก็กล่าวว่า จะให้เราศรัทธาเยี่ยงผู้โฉดเขลาเหล่านั้นศรัทธากัน กระนั่นหรือ? พึงรู้เถิดว่า พวกเขาเองนั่นแหละเป็นผู้ที่โฉดเขลาแต่พวกเขาหารู้ไม่,และเมื่อได้ถูกกล่าวแก่พวกเขาว่า พวกท่านจงศรัทธาเยี่ยงที่ประชาชนเขาศรัทธากันซิ พวกเขาก็กล่าวว่า จะให้เราศรัทธาเยี่ยงผู้โฉดเขลาเหล่านั้นศรัทธากันกระนั่นหรือ พึงรู้เถิดว่าพวกเขาเองนั่นแหละเป็นผู้ที่โฉดเขลา แต่พวกเขาหารู้ไม่,"ลบเครื่องหมายวรรคตอนสากลที่ไม่จำเป็น (เช่น ? , . ! “ ”) และจัดช่องไฟให้อ่านลื่นไหล","Removed unnecessary Western punctuation marks (?, ., !, ,, quotes) and normalized spacing"
