surah,ayah,issue_type,explanation,target_phrase,replacement_phrase,guardrail_status,original_thai,proposed_thai,arabic_anchor,malay_anchor,malay_reference,arabic_text,reviewer_decision
1,4,MISTRANSLATION,The term 'อภิสิทธิ์' (privilege/prerogative) does not accurately reflect the meaning of 'Malik' (Owner/King/Master) in the context of the Day of Judgment. 'ผู้ทรงอำนาจ' (The Possessor of Authority/Power) or 'ผู้ทรงกรรมสิทธิ์' is more accurate to the Arabic 'Malik'.,ผู้ทรงอภิสิทธิ์,ผู้ทรงอำนาจ,PASSED_GUARDRAIL,ผู้ทรงอภิสิทธิ์แห่งวันตอบแทน,ผู้ทรงอำนาจแห่งวันตอบแทน,مَٰلِكِ,Yang Menguasai,Yang Menguasai pemerintahan hari Pembalasan (hari Akhirat).,مَٰلِكِ يَوۡمِ ٱلدِّينِ | ٤,
2,2,MISTRANSLATION,"The word 'เท่านั้น' (only) is an unauthorized addition that restricts the guidance to 'only' the God-fearing, whereas the Arabic text states it is guidance 'for' the God-fearing (as a source of guidance for all, but specifically benefiting the muttaqin).",เป็นคำแนะนำสำหรับบรรดาผู้ยำเกรงเท่านั้น,เป็นคำแนะนำสำหรับบรรดาผู้ยำเกรง,PASSED_GUARDRAIL,คัมภีร์นี้ ไม่มีความสงสัยใด ๆ ในนั้น เป็นคำแนะนำสำหรับบรรดาผู้ยำเกรงเท่านั้น,คัมภีร์นี้ ไม่มีความสงสัยใด ๆ ในนั้น เป็นคำแนะนำสำหรับบรรดาผู้ยำเกรง,هُدٗى لِّلۡمُتَّقِينَ,ia pula menjadi petunjuk bagi orang-orang yang (hendak) bertaqwa,"Kitab Al-Quran ini, tidak ada sebarang syak padanya (tentang datangnya dari Allah dan tentang sempurnanya); ia pula menjadi petunjuk bagi orang-orang yang (hendak) bertaqwa;",ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ | ٢,
2,5,TYPO,"In the context of the Quran, 'هُدٗى' (Huda) is standardly translated as 'แนวทางที่ถูกต้อง' (guidance/right path) in Islamic Thai terminology, whereas 'คำแนะนำ' (advice/suggestion) is too secular and weak for divine guidance.",คำแนะนำ,แนวทางที่ถูกต้อง,PASSED_GUARDRAIL,ชนเหล่านี้ คือ ผู้ที่ (ตั้ง) อยู่บนคำแนะนำที่มาจากพระผู้เป็นเจ้าของพวกเขา และชนเหล่านี้ คือผู้ที่บรรลุผล,ชนเหล่านี้ คือ ผู้ที่ (ตั้ง) อยู่บนแนวทางที่ถูกต้องที่มาจากพระผู้เป็นเจ้าของพวกเขา และชนเหล่านี้ คือผู้ที่บรรลุผล,هُدٗى,petunjuk,"Mereka itulah yang tetap mendapat petunjuk dari Tuhan mereka, dan merekalah orang-orang yang berjaya.",أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ | ٥,
2,7,TYPO,The Arabic 'وَلَهُمۡ' (wa-lahum) translates to 'and for them' or 'and to them'. The current Thai 'และเขาเหล่านั้น' (and those people) is a pronoun shift that loses the possessive/dative sense of the Arabic preposition 'lam' (for/to).,และเขาเหล่านั้น,และสำหรับพวกเขา,PASSED_GUARDRAIL,อัลลอฮฺได้ทรงประทับตราบนหัวใจของพวกเขา และบนหูของพวกเขาแล้ว และบนตาของพวกเขาก็มีสิ่งบดบังอยู่ และเขาเหล่านั้น จะได้รับการลงโทษอันมหันต์,อัลลอฮฺได้ทรงประทับตราบนหัวใจของพวกเขา และบนหูของพวกเขาแล้ว และบนตาของพวกเขาก็มีสิ่งบดบังอยู่ และสำหรับพวกเขา จะได้รับการลงโทษอันมหันต์,وَلَهُمۡ,dan bagi mereka,"(Dengan sebab keingkaran mereka), Allah mematerikan atas hati mereka serta pendengaran mereka, dan pada penglihatan mereka ada penutupnya; dan bagi mereka pula disediakan azab seksa yang amat besar.",خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمۡ وَعَلَىٰ سَمۡعِهِمۡۖ وَعَلَىٰٓ أَبۡصَٰرِهِمۡ غِشَٰوَةٞۖ وَلَهُمۡ عَذَابٌ عَظِيمٞ | ٧,
2,9,MISTRANSLATION,"The phrase 'หลอกลวงใครไม่' is colloquial and lacks the formal register required for Quranic translation. 'ผู้ใด' is the standard formal pronoun for 'anyone/whoever' in this context, aligning with the gravity of the Arabic text.",และพวกเขาหาได้หลอกลวงใครไม่,และพวกเขาหาได้หลอกลวงผู้ใดไม่,PASSED_GUARDRAIL,เขาเหล่านั้นต่างหลอกลวงอัลลอฮฺ และบรรดาผู้ที่ศรัทธา และพวกเขาหาได้หลอกลวงใครไม่ นอกจากตัวของพวกเขาเองเท่านั้น แต่พวกเขาไม่รู้สึก,เขาเหล่านั้นต่างหลอกลวงอัลลอฮฺ และบรรดาผู้ที่ศรัทธา และพวกเขาหาได้หลอกลวงผู้ใดไม่ นอกจากตัวของพวกเขาเองเท่านั้น แต่พวกเขาไม่รู้สึก,وَمَا يَخۡدَعُونَ إِلَّآ أَنفُسَهُمۡ,padahal mereka hanya memperdaya dirinya sendiri,"Mereka hendak memperdayakan Allah dan orang-orang yang beriman, padahal mereka hanya memperdaya dirinya sendiri, sedang mereka tidak menyedarinya.",يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُواْ وَمَا يَخۡدَعُونَ إِلَّآ أَنفُسَهُمۡ وَمَا يَشۡعُرُونَ | ٩,
2,10,MISTRANSLATION,"The Thai translation 'โรคอย่างหนึ่ง' (a disease) and 'โรคอีกอย่างหนึ่ง' (another disease) implies two different types of diseases, whereas the Arabic 'مَرَضٞ' and 'مَرَضٗا' refer to the same type of spiritual disease (hypocrisy/doubt) being intensified.",โรคอย่างหนึ่ง แล้วอัลลอฮฺได้ทรงเพิ่มโรคอีกอย่างหนึ่ง,โรค แล้วอัลลอฮฺได้ทรงเพิ่มโรคให้แก่พวกเขา,PASSED_GUARDRAIL,ในหัวใจของพวกเขามีโรคอย่างหนึ่ง แล้วอัลลอฮฺได้ทรงเพิ่มโรคอีกอย่างหนึ่ง ให้แก่พวกเขา และพวกเขาจะได้รับการลงโทษอันเจ็บแสบ เนื่องจากการที่พวกเขากล่าวเท็จ,ในหัวใจของพวกเขามีโรค แล้วอัลลอฮฺได้ทรงเพิ่มโรคให้แก่พวกเขา ให้แก่พวกเขา และพวกเขาจะได้รับการลงโทษอันเจ็บแสบ เนื่องจากการที่พวกเขากล่าวเท็จ,مَّرَضٞ فَزَادَهُمُ ٱللَّهُ مَرَضٗا,"terdapat penyakit (syak dan hasad dengki), maka Allah tambahkan lagi penyakit itu kepada mereka","Dalam hati mereka (golongan yang munafik itu) terdapat penyakit (syak dan hasad dengki), maka Allah tambahkan lagi penyakit itu kepada mereka; dan mereka pula akan beroleh azab seksa yang tidak terperi sakitnya, dengan sebab mereka berdusta (dan mendustakan kebenaran).",فِي قُلُوبِهِم مَّرَضٞ فَزَادَهُمُ ٱللَّهُ مَرَضٗاۖ وَلَهُمۡ عَذَابٌ أَلِيمُۢ بِمَا كَانُواْ يَكۡذِبُونَ | ١٠,
2,12,TYPO,"The Arabic term 'la yash'urun' in this context refers to a lack of awareness or realization of their own corruption. 'ไม่รู้สึก' implies a lack of physical sensation or emotion, whereas 'ไม่รู้สึกตัว' correctly captures the meaning of 'unaware' or 'not realizing' as used in standard Thai Islamic theological literature.",ไม่รู้สึก,ไม่รู้สึกตัว,PASSED_GUARDRAIL,พึงรู้เถิดว่า แท้จริงพวกเขานั่นแหละ เป็นผู้ที่ก่อความเสียหาย แต่ทว่าพวกเขาไม่รู้สึก,พึงรู้เถิดว่า แท้จริงพวกเขานั่นแหละ เป็นผู้ที่ก่อความเสียหาย แต่ทว่าพวกเขาไม่รู้สึกตัว,لَّا يَشۡعُرُونَ,tidak menyedarinya,"Ketahuilah! Bahawa sesungguhnya mereka itulah orang-orang yang sebenar-benarnya membuat bencana dan kerosakan, tetapi mereka tidak menyedarinya.",أَلَآ إِنَّهُمۡ هُمُ ٱلۡمُفۡسِدُونَ وَلَٰكِن لَّا يَشۡعُرُونَ | ١٢,
2,13,TYPO,The word 'กระนั่น' is a common misspelling of the Thai interrogative particle 'กระนั้น' (meaning 'like that' or 'so').,กระนั่นหรือ,กระนั้นหรือ,PASSED_GUARDRAIL,และเมื่อได้ถูกกล่าวแก่พวกเขาว่า พวกท่านจงศรัทธาเยี่ยงที่ประชาชน เขาศรัทธากันซิ พวกเขาก็กล่าวว่า จะให้เราศรัทธาเยี่ยงผู้โฉดเขลาเหล่านั้น ศรัทธากัน กระนั่นหรือ? พึงรู้เถิดว่า พวกเขาเองนั่นแหละเป็นผู้ที่โฉดเขลา แต่พวกเขาหารู้ไม่,และเมื่อได้ถูกกล่าวแก่พวกเขาว่า พวกท่านจงศรัทธาเยี่ยงที่ประชาชน เขาศรัทธากันซิ พวกเขาก็กล่าวว่า จะให้เราศรัทธาเยี่ยงผู้โฉดเขลาเหล่านั้น ศรัทธากัน กระนั้นหรือ? พึงรู้เถิดว่า พวกเขาเองนั่นแหละเป็นผู้ที่โฉดเขลา แต่พวกเขาหารู้ไม่,أَنُؤۡمِنُ,Patutkah kami,"Dan apabila dikatakan kepada mereka: ""Berimanlah kamu sebagaimana orang-orang itu telah beriman"". Mereka menjawab: ""Patutkah kami ini beriman sebagaimana berimannya orang-orang bodoh itu?"" Ketahuilah! Sesungguhnya merekalah orang-orang yang bodoh, tetapi mereka tidak mengetahui (hakikat yang sebenarnya).",وَإِذَا قِيلَ لَهُمۡ ءَامِنُواْ كَمَآ ءَامَنَ ٱلنَّاسُ قَالُوٓاْ أَنُؤۡمِنُ كَمَآ ءَامَنَ ٱلسُّفَهَآءُۗ أَلَآ إِنَّهُمۡ هُمُ ٱلسُّفَهَآءُ وَلَٰكِن لَّا يَعۡلَمُونَ | ١٣,
2,15,MISTRANSLATION,"The term 'ระเหเร่ร่อน' implies wandering or being homeless, whereas 'يَعۡمَهُونَ' (ya'mahun) in this context refers to being blind, confused, or groping in darkness/error, which is accurately captured by 'งมงาย' or 'งมงายอยู่ในความหลงผิด'.",ระเหเร่ร่อน,งมงาย,PASSED_GUARDRAIL,อัลลอฮฺจะทรงเย้ยหยันพวกเขา และจะทรงยืดเวลาให้พวกเขาระเหเร่ร่อนอยู่ในการละเมิดของพวกเขาต่อไป,อัลลอฮฺจะทรงเย้ยหยันพวกเขา และจะทรงยืดเวลาให้พวกเขางมงายอยู่ในการละเมิดของพวกเขาต่อไป,يَعۡمَهُونَ,meraba-raba,"Allah (membalas) memperolok-olok, dan membiarkan mereka meraba-raba dalam kesesatan mereka (yang melampaui batas itu).",ٱللَّهُ يَسۡتَهۡزِئُ بِهِمۡ وَيَمُدُّهُمۡ فِي طُغۡيَٰنِهِمۡ يَعۡمَهُونَ | ١٥,
2,16,MISTRANSLATION,"The phrase 'ไม่เคยเป็นผู้รับเอาทางที่ถูกต้อง' implies a past continuous state of never having accepted guidance, whereas 'وَمَا كَانُواْ مُهۡتَدِينَ' refers to the state of not being guided/not having received guidance at the time of their transaction. 'ไม่เป็นผู้ได้รับคำแนะนำ' aligns better with the standard theological translation of 'muhtadin'.",ไม่เคยเป็นผู้รับเอาทางที่ถูกต้อง,ไม่เป็นผู้ได้รับคำแนะนำ,PASSED_GUARDRAIL,ชนเหล่านี้คือผู้ที่ซื้อทางหลงผิด ด้วยทางที่ถูก ดังนั้น การค้าของพวกเขาจึงไม่ได้กำไร และทั้งพวกเขาก็ไม่เคยเป็นผู้รับเอาทางที่ถูกต้อง,ชนเหล่านี้คือผู้ที่ซื้อทางหลงผิด ด้วยทางที่ถูก ดังนั้น การค้าของพวกเขาจึงไม่ได้กำไร และทั้งพวกเขาก็ไม่เป็นผู้ได้รับคำแนะนำ,وَمَا كَانُواْ مُهۡتَدِينَ,tidak pula mereka beroleh petunjuk hidayah,Mereka itulah orang-orang yang membeli kesesatan dengan meninggalkan petunjuk; maka tiadalah beruntung perniagaan mereka dan tidak pula mereka beroleh petunjuk hidayah.,أُوْلَٰٓئِكَ ٱلَّذِينَ ٱشۡتَرَوُاْ ٱلضَّلَٰلَةَ بِٱلۡهُدَىٰ فَمَا رَبِحَت تِّجَٰرَتُهُمۡ وَمَا كَانُواْ مُهۡتَدِينَ | ١٦,
