surah,ayah,status,char_lock_verified,original_thai,final_thai
1,1,CLEAN,True,ด้วยพระนามของอัลลอฮฺ ผู้ทรงกรุณาปรานี ผู้ทรงเมตตาเสมอ,ด้วยพระนามของอัลลอฮฺ ผู้ทรงกรุณาปรานี ผู้ทรงเมตตาเสมอ
1,2,SPACING_OPTIMIZED,True,การสรรเสริญทั้งหลายนั้นเป็นสิทธิของอัลลอฮฺ ผู้เป็นพระเจ้าแห่งสากลโลก,การสรรเสริญทั้งหลายนั้น เป็นสิทธิของอัลลอฮฺ ผู้เป็นพระเจ้าแห่งสากลโลก
1,3,CLEAN,True,ผู้ทรงกรุณาปรานี ผู้ทรงเมตตาเสมอ,ผู้ทรงกรุณาปรานี ผู้ทรงเมตตาเสมอ
1,4,SPACING_OPTIMIZED,True,ผู้ทรงอภิสิทธิ์แห่งวันตอบแทน,ผู้ทรงอภิสิทธิ์ แห่งวันตอบแทน
1,5,SPACING_OPTIMIZED,True,เฉพาะพระองค์เท่านั้น ที่พวกข้าพระองค์เคารพอิบาดะฮฺ และเฉพาะพระองค์เท่านั้น ที่พวกข้าพระองค์ขอความช่วยเหลือ,เฉพาะพระองค์เท่านั้น ที่พวกข้าพระองค์เคารพอิบาดะฮฺ และเฉพาะพระองค์เท่านั้นที่พวกข้าพระองค์ขอความช่วยเหลือ
1,6,CLEAN,True,ขอพระองค์ทรงแนะนำพวกข้าพระองค์ ซึ่งทางอันเที่ยงตรง,ขอพระองค์ทรงแนะนำพวกข้าพระองค์ ซึ่งทางอันเที่ยงตรง
1,7,CLEAN,True,(คือ) ทางของบรรดาผู้ที่พระองค์ได้ทรงโปรดปรานแก่พวกเขา มิใช่ทางของพวกที่ถูกกริ้ว และมิใช่ทางของพวกที่หลงผิด,(คือ) ทางของบรรดาผู้ที่พระองค์ได้ทรงโปรดปรานแก่พวกเขา มิใช่ทางของพวกที่ถูกกริ้ว และมิใช่ทางของพวกที่หลงผิด
2,1,CLEAN,True,อะลิฟ ลาม มีม,อะลิฟ ลาม มีม
2,2,SPACING_OPTIMIZED,True,คัมภีร์นี้ ไม่มีความสงสัยใด ๆ ในนั้น เป็นคำแนะนำสำหรับบรรดาผู้ยำเกรงเท่านั้น,คัมภีร์นี้ไม่มีความสงสัยใด ๆ ในนั้น เป็นคำแนะนำสำหรับบรรดาผู้ยำเกรงเท่านั้น
2,3,REJECTED_CHARACTER_MISMATCH,False,คือบรรดาผู้ศรัทธาต่อสิ่งเร้นลับ และดำรงไว้ซึ่งการละหมาด และส่วนหนึ่งจากสิ่งที่เราได้ให้เป็นปัจจัยยังชีพแก่พวกเขานั้น พวกเขาก็บริจาค,คือบรรดาผู้ศรัทธาต่อสิ่งเร้นลับ และดำรงไว้ซึ่งการละหมาด และส่วนหนึ่งจากสิ่งที่เราได้ให้เป็นปัจจัยยังชีพแก่พวกเขานั้น พวกเขาก็บริจาค
